Make,YOM,Color,Used,Transmission,Mileage,Price,City
Nissan,2015,Black,Foreign Used,Automatic,86532.0,1380000,Nairobi
Nissan,2014,White,Foreign Used,Automatic,41865.0,835000,Mombasa
Nissan,2014,White,Foreign Used,Automatic,81000.0,870000,Nairobi
Nissan,2014,White,Foreign Used,Automatic,72000.0,750000,Mombasa
Nissan,2014,Silver,Foreign Used,Automatic,78000.0,660000,Nairobi
Nissan,2014,Silver,Foreign Used,Automatic,120000.0,760000,Nairobi
Nissan,2014,Black,Foreign Used,Automatic,85643.0,2000000,Mombasa
Nissan,2014,Silver,Foreign Used,Automatic,145000.0,1390000,Nairobi
Nissan,2013,Red,Foreign Used,Automatic,153000.0,1600000,Mombasa
Nissan,2014,Brown,Foreign Used,Automatic,62828.0,680000,Mombasa
Nissan,2014,Gray,Foreign Used,Automatic,93567.0,975000,Mombasa
Nissan,2017,White,Foreign Used,Manual,86532.0,2200000,Nairobi
Nissan,2015,Purple,Foreign Used,Automatic,59430.0,1290000,Mombasa
Nissan,2014,White,Foreign Used,Automatic,86532.0,930000,Nairobi
Nissan,2014,Red,Foreign Used,Automatic,63811.0,1300000,Mombasa
